,Reference_Product,Product_Desciption,Product_Price,Disponibility
15,[REDMI-GO-BK],"Double SIM - Écran 5"" HD - Processeur Qualcomm Snapdragon 425 Quad Core 1.4 Ghz - RAM 1 Go - Mémoire 16 Go - 2x Appareils Photo: 8MP (Arrière), 5MP (Frontale) - 4G - Wifi - Bluetooth - GPS - Batterie 3000 mAh - Garantie 1 an + SIM Orange Offerte (40 Go)","276,000 TND",En stock
16,[REDMI-GO-BL],"Double SIM - Écran 5"" HD - Processeur Qualcomm Snapdragon 425 Quad Core 1.4 Ghz - RAM 1 Go - Mémoire 16 Go - 2x Appareils Photo: 8MP (Arrière), 5MP (Frontale) - 4G - Wifi - Bluetooth - GPS - Batterie 3000 mAh - Garantie 1 an + SIM Orange Offerte (40 Go)","276,000 TND",En stock
17,[EVER-P1-GO],"Double SIM - Ecran 5"" HD IPS - Résolution: 720 x 1280 pixels - Processeur MediaTek MT 6580 Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 16 Go extensible Jusqu'à 32 Go - 2x Appareils Photos: 8MP Arrirère / 5MP Frontale - Android 6.0 Marshmallow - 3G - Wifi - GPS - Bluetooth - Radio IFM - Batterie 5000 mAh - Dimensions: 144.5 x 71.4 x 8.78 mm - Garantie 1 an + SIM Orange Offerte (40 Go)","289,000 TND",En stock
18,[NOKIA1PLUS-BK],"Double SIM - Ecran 5.45"" FWVGA+ IPS - Processeur Mediatek MT6739WW, Quad Core 1.5 GHz - RAM 1 Go - Mémoire 8 Go - Android 9 Pie (édition Go) - 2x Appareils Photo 8 Mégapixels (Arrière), 5 Mégapixels (Avant) - 4G - Wifi - Bluetooth - GPS - Batterie 2500 mAh - Couleur Noir - Garantie 1 an + Carte mémoire 16 Go Gratuite + SIM Orange Offerte (50 Go)","289,000 TND",En stock
19,[NOKIA1PLUS-BLEU],"Double SIM - Ecran 5.45"" FWVGA+ IPS - Processeur Mediatek MT6739WW, Quad Core 1.5 GHz - RAM 1 Go - Mémoire 8 Go - Android 9 Pie (édition Go) - 2x Appareils Photo 8 Mégapixels (Arrière), 5 Mégapixels (Avant) - 4G - Wifi - Bluetooth - GPS - Batterie 2500 mAh - Couleur Bleu - Garantie 1 an + Carte mémoire 16 Go Gratuite + SIM Orange Offerte (50 Go)","289,000 TND",En stock
20,[NOKIA2.1-GS],"Double SIM - Ecran 5.5"" HD - Résolution 1280 x 720 pixels - Processeur Qualcomm Snapdragon 425 Quad-Core 1.4 GHz - RAM 1 Go - Mémoire 8 Go up to 128 Go - Android 8.0 Oreo - 2x Appareils Photo 8 Mégapixels (Arrière), 5 Mégapixels (Avant) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Couleur Silver - Garantie 1 an + SIM Orange Offerte (50 Go)","299,000 TND",En stock
21,[ZA410035EG],"Fonction Appel Téléphonique - Ecran 7'' HD (1024 x 600) - Processeur MediaTek MediaTek MT8321A/D Quad Core, 1.3 Ghz - RAM 1 Go - Mémoire 8 Go extensible jusqu'à 64 Go via Micro SD - Android 8.0 Oreo - 2x Caméras 2MP (Arriére), 0.3MP (Frontale) - 3G - Wi-Fi - Batterie 2750mAh - Bluetooth v4.0 - Couleur Noir - Garantie 1 an + SIM Orange Offerte 40 Go","299,000 TND",En stock
22,[EV-V9PLUS-BK],"Double SIM - Ecran 5.5"" IPS HD+ - Résolution: 720 x 144p - Processeur MTK6737H Quad Core 1.25 Ghz - RAM 1 Go - Mémoire 8 Go - Android GO - 2x Appareils Photos 5MP Arrière, 5 MP Frontale - Wifi - 4G - Bluetooth - GPS - FM - Batterie 2800 mAh - Couleur Noir - Garantie 1 an + SIM Orange Offerte (50 Go)","310,000 TND",En stock
23,[EV-V9PLUS-GO],"Double SIM - Ecran 5.5"" IPS HD+ - Résolution: 720 x 144p - Processeur MTK6737H Quad Core 1.25 Ghz - RAM 1 Go - Mémoire 8 Go - Android GO - 2x Appareils Photos 5MP Arrière, 5 MP Frontale - Wifi - 4G - Bluetooth - GPS - FM - Batterie 2800 mAh - Couleur Gold - Garantie 1 an + SIM Orange Offerte (50 Go)","310,000 TND",En stock
24,[ZA410077EG],"Fonction Appel Téléphonique - Ecran 7'' HD (1024 x 600) - Processeur MediaTek MediaTek MT8321A/D Quad Core, 1.3 Ghz - RAM 1 Go - Mémoire 16 Go extensible jusqu'à 64 Go via Micro SD - Android 8.0 Oreo - 2x Caméras 2MP (Arriére), 0.3MP (Frontale) - 3G - Wi-Fi - Batterie 2750mAh - Bluetooth v4.0 - Couleur Noir - Garantie 1 an + SIM Orange Offerte 40 Go+ Coque en Silicone + Film de protection ","319,000 TND",En stock
25,[L-MUST-GR],"Double SIM - Ecran 5.72"" IPS HD+ - Processeur Quad core - RAM 2 Go - Mémoire 16 Go - Android 7.0 Nougat - 2x Appareils Photos: 13 MP (Arrière), 8 MP (Frontale) - Batterie 2800 mAh - Wifi - 4G - Bluetooth - GPS - Garantie 1 an + SIM Orange Offerte (50 Go)","324,000 TND",En stock
26,[SM-A260-DG],"Double SIM - Ecran 5"" QHD - Résolution: 540 x 960 - Processeur Exynos 7870 Octa-core 1.6 GHz - RAM 1 Go - Mémoire 16 o Extensible Jusqu'à 256 Go Via Micro SD - Android 8.0 Oreo - 2x Appareils Photos 5 MP Arriére, 5 MP Avant - Wifi - 4G - Bluetooth - GPS - Garantie 1 an + SIM Orange Offerte (50 Go)","349,000 TND",En stock
27,[SM-A260-BL],"Double SIM - Ecran 5"" QHD - Résolution: 540 x 960 - Processeur Exynos 7870 Octa-core 1.6 GHz - RAM 1 Go - Mémoire 16 o Extensible Jusqu'à 256 Go Via Micro SD - Android 8.0 Oreo - 2x Appareils Photos 5 MP Arriére, 5 MP Avant - Wifi - 4G - Bluetooth - GPS - Garantie 1 an + SIM Orange Offerte (50 Go)","349,000 TND",En stock
28,[SM-A260-RD],"Double SIM - Ecran 5"" QHD - Résolution: 540 x 960 - Processeur Exynos 7870 Octa-core 1.6 GHz - RAM 1 Go - Mémoire 16 o Extensible Jusqu'à 256 Go Via Micro SD - Android 8.0 Oreo - 2x Appareils Photos 5 MP Arriére, 5 MP Avant - Wifi - 4G - Bluetooth - GPS - Garantie 1 an + SIM Orange Offerte (50 Go)","349,000 TND",En stock
29,[SM-J260FD-PU],"Double SIM - Ecran 5"" QHD - Résolution: 540 x 960 - Processeur Exynos 7570 Quad Core 1.4GHz - RAM 1Go - Mémoire 8Go Extensible Jusqu'à 256Go Via Micro SD - Android 8.1 Oreo - 2x Appareils Photos 8 MP Arriére, 5 MP Avant - Wifi - 4G - Bluetooth - Garantie 1 an + SIM Orange Offerte (50 Go)","349,000 TND",En stock
30,[NOKIA2.2-ST],"Double SIM - Ecran 5.71"" HD+ - Résolution 1520 x 720 pixels - Processeur MediaTek Helio A22 Quad-Core 2.0 GHz Cortex-A53 - RAM 2 Go - Mémoire 16 Go up to 400 Go - Android 9.0 Pie - 2x Appareils Photo 13 Mégapixels (Arrière), 5 Mégapixels (Avant) - 4G - Wifi - Bluetooth - GPS - Batterie 3000 mAh - Couleur Silver - Garantie 1 an + SIM Orange Offerte (50 Go)","359,000 TND",En stock
31,[OPPO-A1K-RD],"Double SIM - Ecran 6.1"" HD+ - Processeur MTK MT6762R - Android 9.0 Pie - RAM 2 Go - Mémoire 32 Go extensible - Appareil Photo 8 MP (Arrière) / 5 MP (Avant) - 4G - Wifi - Bluetooth - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)
* Ce Produit est disponible exclusivement dans notre magasin.","369,000 TND",En stock
